도서명	저자	출판사	출판일	가격
핸즈온 머신러닝	오렐리앙 제롱, 박해선	한빛미디어	2023년 09월	54,000
가상 면접 사례로 배우는 대규모 시스템 설계 기초	알렉스 쉬, 이병준	인사이트(insight)	2021년 07월	21,600
소프트웨어 테스트 전문가(CSTS) 가이드	한국정보통신기술협회(TTA)	홍릉	2021년 04월	31,350
데이터 중심 애플리케이션 설계	마틴 클레프만, 정재부, 김영준, 이도경	위키북스	2018년 04월	32,400
미래를 바꾼 아홉 가지 알고리즘	존 맥코믹, 민병교	에이콘출판사	2013년 05월	16,920
바이브 엔지니어링	제이 킴	길벗	2026년 06월	21,600
AI 에이전트 실행 세계 1 : 원리편	조쉬	로드북	2026년 06월	27,000
생존을 위한 최소한의 AI 교양	조남호	골든래빗	2026년 06월	22,500
코딩 몰라도 시작하는 바이브 코딩	박인찬	혜지원	2026년 07월	18,000
교사의 시간 AI로 다시 쓰다	황영준, 박성완, 양기송	에듀윌	2026년 07월	12,600
브랜드가 된 디자이너	노선선	시프트	2026년 07월	18,900
스토리 창작자를 위한 AI 활용 가이드	야마카와 겐이치, 이마이 아키히코, 아시자와 가모메, 송경원	요다	2026년 06월	16,200
혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 제미나이	김태훈, 손민지, 김한나	한빛미디어	2026년 06월	19,800
AI 대세전환 안티그래비티 × 바이브 코딩 압도적 업무 역량	정용범, 손상우, 박성환	프리렉	2026년 05월	27,000
누구나 코딩하는 시대, 1일 10분 바이브 코딩	김영욱	한빛미디어	2026년 04월	19,800
이게 되네? 오픈클로 미친 활용법 50제	한준구	골든래빗	2026년 05월	21,600
인스타그램 릴스 & 알고리즘 공략법 : 100만 조회수 만들기	서진원	이은북	2026년 04월	16,020
수업과 업무에 바로 적용하는 생성형 AI 활용 58제	임세범	앤써북	2026년 04월	16,920
바로바로 바이브 코딩 with 커서 AI	박현규	골든래빗	2026년 04월	27,000
옵시디언 프로페셔널 노트	구요한	리코멘드	2026년 03월	22,500
맛있는 디자인 피그마 with AI	이영주	한빛미디어	2026년 02월	25,200
된다! 피그마 디자인 10분 레시피	하이서, 김대일, 김시원, 최유빈	이지스퍼블리싱	2026년 02월	25,200
광고, UX/UI, 브랜딩에 바로 쓰는 디자인 심리 108	321web(미쓰이 마사유키), 김현미	시프트	2026년 01월	16,200
컴퓨팅 사고와 정보과학 : 2025년도 기출문제집(중·고등학생용)	한국비버챌린지 (Bebras Korea)	생능출판사	2025년 12월	13,500
스케치업&엔스케이프 트레이닝 북	강석창	한빛미디어	2025년 10월	28,800
된다! 미리캔버스&캔바 디자인 수업	방구석 다람쥐(배가을)	이지스퍼블리싱	2025년 09월	21,600
요즘 바이브 코딩 클로드 코드 완벽 가이드	최지호	골든래빗	2025년 09월	21,600
요즘 교사를 위한 AI 디지털 수업 설계 가이드 with 2022 개정 교육과정	김진관, 김상섭, 이대형, 이상선, 윤신영	한빛미디어	2025년 08월	19,800
UX/UI 디자이너를 위한 실무 피그마	클레어 정	한빛미디어	2025년 05월	25,200
혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 캔바 Canva	김태훈, 김한나, 김예슬, 손민지, 유수근	한빛미디어	2024년 10월	20,700
20가지 템플릿으로 배우는 노션 Notion	전시진	시프트	2024년 10월	18,000
게임 기획의 정석	타이난 실베스터, 오영욱	스타비즈	2024년 04월	27,000
이것이 자바다	신용권, 임경균	한빛미디어	2024년 04월	34,200
혼자 공부하는 자바	신용권	한빛미디어	2024년 02월	25,200
CODE	찰스 펫졸드, 김현규	인사이트(insight)	2023년 12월	31,500
코딩 자율학습 나도코딩의 파이썬 입문	나도코딩	길벗	2023년 02월	21,600
세계관을 창조하는 판타지 배색 아이디어 사전	사쿠라이 테루코, 하시 카츠카메, 허영은	한스미디어	2023년 01월	5,625
비전공자를 위한 이해할 수 있는 IT 지식	최원영	티더블유아이지	2020년 07월	15,120
라프 코스터의 재미이론 10주년 개정판	라프 코스터, 유창석, 전유택	길벗	2017년 03월	19,800
Do it! C 언어 입문	김성엽	이지스퍼블리싱	2017년 01월	22,500
라즈베리파이 5로 배우는 AI 인공지능 자율주행 자동차 만들기 + 데이터 수집 · 학습 + 딥러닝	장문철	앤써북	2026년 06월	21,960
초간단 캡컷 AI 영상 편집	이용태	책바세	2026년 08월	19,800
