순위,도서명,저자,출판사,출판일,가격,링크
167,"광고, UX/UI, 브랜딩에 바로 쓰는 디자인 심리 108","321web(미쓰이 마사유키), 김현미",시프트,2026년 01월,"16,200",https://www.yes24.com/product/goods/174048990
168,컴퓨팅 사고와 정보과학 : 2025년도 기출문제집(중·고등학생용),한국비버챌린지 (Bebras Korea),생능출판사,2025년 12월,"13,500",https://www.yes24.com/product/goods/168654454
169,스케치업&엔스케이프 트레이닝 북,강석창,한빛미디어,2025년 10월,"28,800",https://www.yes24.com/product/goods/161420414
170,된다! 미리캔버스&캔바 디자인 수업,방구석 다람쥐(배가을),이지스퍼블리싱,2025년 09월,"21,600",https://www.yes24.com/product/goods/152553545
171,요즘 바이브 코딩 클로드 코드 완벽 가이드,최지호,골든래빗,2025년 09월,"21,600",https://www.yes24.com/product/goods/151850127
172,요즘 교사를 위한 AI 디지털 수업 설계 가이드 with 2022 개정 교육과정,"김진관, 김상섭, 이대형, 이상선, 윤신영",한빛미디어,2025년 08월,"19,800",https://www.yes24.com/product/goods/151350143
173,UX/UI 디자이너를 위한 실무 피그마,클레어 정,한빛미디어,2025년 05월,"25,200",https://www.yes24.com/product/goods/146705191
174,혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 캔바 Canva,"김태훈, 김한나, 김예슬, 손민지, 유수근",한빛미디어,2024년 10월,"20,700",https://www.yes24.com/product/goods/135760031
175,20가지 템플릿으로 배우는 노션 Notion,전시진,시프트,2024년 10월,"18,000",https://www.yes24.com/product/goods/133337416
176,게임 기획의 정석,"타이난 실베스터, 오영욱",스타비즈,2024년 04월,"27,000",https://www.yes24.com/product/goods/126305083
177,이것이 자바다,"신용권, 임경균",한빛미디어,2024년 04월,"34,200",https://www.yes24.com/product/goods/125677017
178,혼자 공부하는 자바,신용권,한빛미디어,2024년 02월,"25,200",https://www.yes24.com/product/goods/124821050
179,CODE,"찰스 펫졸드, 김현규",인사이트(insight),2023년 12월,"31,500",https://www.yes24.com/product/goods/124110681
